"","cluster","LFC.DEgenes_sig_Astrocytes_DD_NP_ZIKV_Astrocytes_DD_NP_Mock2zika_GM_ZIKA_Astrocytes2mock","LFC.DEgenes_sig_Astrocytes_GM_NP_ZIKV_Astrocytes_GM_NP_Mock2zika_GM_ZIKA_Astrocyte2mocks","LFC.DEgenes_sig_Early Neurons_DD_NP_ZIKV_Early Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Early Neurons_GM_NP_ZIKV_Early Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Neurons_DD_NP_ZIKV_Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Neurons_GM_NP_ZIKV_Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_NPC_DD_NP_ZIKV_NPC_DD_NP_Mock2zika_DD_ZIKA_NPC2mock","LFC.DEgenes_sig_NPC_GM_NP_IFNb_NPC_GM_NP_Mock_GM_IFNb_NPC","LFC.DEgenes_sig_NPC_GM_NP_ZIKV_NPC_GM_NP_Mock2zika_GM_ZIKA_NPC2mock","LFC.DEgenes_sig_Oligodendrocyte_DD_NP_ZIKV_Oligodendrocyte_DD_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","LFC.DEgenes_sig_Oligodendrocyte_GM_NP_ZIKV_Oligodendrocyte_GM_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","pct.DEgenes_sig_Astrocytes_DD_NP_ZIKV_Astrocytes_DD_NP_Mock2zika_GM_ZIKA_Astrocytes2mock","pct.DEgenes_sig_Astrocytes_GM_NP_ZIKV_Astrocytes_GM_NP_Mock2zika_GM_ZIKA_Astrocyte2mocks","pct.DEgenes_sig_Early Neurons_DD_NP_ZIKV_Early Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Early Neurons_GM_NP_ZIKV_Early Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Neurons_DD_NP_ZIKV_Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Neurons_GM_NP_ZIKV_Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_NPC_DD_NP_ZIKV_NPC_DD_NP_Mock2zika_DD_ZIKA_NPC2mock","pct.DEgenes_sig_NPC_GM_NP_IFNb_NPC_GM_NP_Mock_GM_IFNb_NPC","pct.DEgenes_sig_NPC_GM_NP_ZIKV_NPC_GM_NP_Mock2zika_GM_ZIKA_NPC2mock","pct.DEgenes_sig_Oligodendrocyte_DD_NP_ZIKV_Oligodendrocyte_DD_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","pct.DEgenes_sig_Oligodendrocyte_GM_NP_ZIKV_Oligodendrocyte_GM_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock"
"EDF1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.261552034419168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA
"PFN1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.267578165652341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972,NA,NA,NA
"TUBB","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.294970391331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991,NA,NA,NA
"CKB","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.270709682966898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,NA,NA,NA
"TUBA1A","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.261762947696615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999,NA,NA,NA
"HSPE1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.299284290912709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943,NA,NA,NA
"HNRNPDL","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.306286988634435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA
"TUBA1B","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.313591724342661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.948,NA,NA,NA
"H2AFZ","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.372298853742104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972,NA,NA,NA
"RAN","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.336374100765159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,NA,NA,NA
"ILF2","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.40709175349303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871,NA,NA,NA
"SRSF7","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.416396641136976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.869,NA,NA,NA
"PKM","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.306115673713752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877,NA,NA,NA
"HMGN2","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.332348128870908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915,NA,NA,NA
"SNRPB","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.32910335315564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA
"TPI1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.320581676806998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.907,NA,NA,NA
"SNRPD1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.359626215408291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.921,NA,NA,NA
